theme_color,occasion,recommended_colors,men_dresses,women_dresses
Blue,Office Party,"White, Grey, Beige, Silver","Formal suit, Blazer with trousers, Dress shirt with chinos, Business casual kurta, Smart office jacket outfit","Formal saree, Blouse with pencil skirt, Business dress, Kurti with palazzo, Elegant office gown"
Blue,Casual Outing,"White, Grey, Beige, Silver","T-shirt with jeans, Casual shirt and shorts, Hoodie and jeans, Casual kurta and pants, Denim shirt outfit","Summer dress, Kurti and jeans, Maxi dress, Casual saree, Floral dress"
Blue,Formal Event,"White, Grey, Beige, Silver","Classic tuxedo, Three-piece suit, Formal blazer outfit, Bandhgala suit, Formal sherwani","Evening gown, Designer saree, Formal Anarkali, Luxury lehenga, Elegant long dress"
Blue,Beach Event,"White, Grey, Beige, Silver","Linen shirt and shorts, Hawaiian shirt, Light cotton shirt outfit, Beach kurta, Sleeveless beach tank outfit","Beach maxi dress, Floral sundress, Light cotton dress, Kaftan dress, Beach skirt and top"
Blue,Dinner Date,"White, Grey, Beige, Silver","Slim fit shirt and trousers, Blazer dinner outfit, Casual suit, Stylish kurta outfit, Smart casual shirt look","Elegant satin dress, Cocktail dress, Stylish saree, Modern gown, Chic jumpsuit"
Blue,Sports Event,"White, Grey, Beige, Silver","Sports jersey, Athletic t-shirt, Track suit, Sports hoodie outfit, Gym wear set","Athletic set, Sports leggings and top, Track suit, Gym outfit, Activewear set"
Yellow,Wedding,"Navy, White, Olive Green, Beige","Black tuxedo, Navy suit, Cream sherwani, Charcoal suit, Traditional veshti and shirt, Kurta pajama, Indo-western sherwani","Saree, Lehenga, Anarkali dress, Bridal gown, Half saree, Salwar kameez, Designer saree"
Yellow,Birthday,"Navy, White, Olive Green, Beige","Casual blazer with t-shirt, Denim jacket outfit, Casual kurta, Polo shirt and chinos, Smart casual shirt and jeans","Cocktail dress, Party gown, Kurti with skirt, Western mini dress, Stylish jumpsuit"
Yellow,Office Party,"Navy, White, Olive Green, Beige","Formal suit, Blazer with trousers, Dress shirt with chinos, Business casual kurta, Smart office jacket outfit","Formal saree, Blouse with pencil skirt, Business dress, Kurti with palazzo, Elegant office gown"
Yellow,Casual Outing,"Navy, White, Olive Green, Beige","T-shirt with jeans, Casual shirt and shorts, Hoodie and jeans, Casual kurta and pants, Denim shirt outfit","Summer dress, Kurti and jeans, Maxi dress, Casual saree, Floral dress"
Yellow,Formal Event,"Navy, White, Olive Green, Beige","Classic tuxedo, Three-piece suit, Formal blazer outfit, Bandhgala suit, Formal sherwani","Evening gown, Designer saree, Formal Anarkali, Luxury lehenga, Elegant long dress"
Yellow,Beach Event,"Navy, White, Olive Green, Beige","Linen shirt and shorts, Hawaiian shirt, Light cotton shirt outfit, Beach kurta, Sleeveless beach tank outfit","Beach maxi dress, Floral sundress, Light cotton dress, Kaftan dress, Beach skirt and top"
Yellow,Dinner Date,"Navy, White, Olive Green, Beige","Slim fit shirt and trousers, Blazer dinner outfit, Casual suit, Stylish kurta outfit, Smart casual shirt look","Elegant satin dress, Cocktail dress, Stylish saree, Modern gown, Chic jumpsuit"
Yellow,Sports Event,"Navy, White, Olive Green, Beige","Sports jersey, Athletic t-shirt, Track suit, Sports hoodie outfit, Gym wear set","Athletic set, Sports leggings and top, Track suit, Gym outfit, Activewear set"
Purple,Wedding,"Silver, White, Black, Lavender","Black tuxedo, Navy suit, Cream sherwani, Charcoal suit, Traditional veshti and shirt, Kurta pajama, Indo-western sherwani","Saree, Lehenga, Anarkali dress, Bridal gown, Half saree, Salwar kameez, Designer saree"
Purple,Birthday,"Silver, White, Black, Lavender","Casual blazer with t-shirt, Denim jacket outfit, Casual kurta, Polo shirt and chinos, Smart casual shirt and jeans","Cocktail dress, Party gown, Kurti with skirt, Western mini dress, Stylish jumpsuit"
Purple,Office Party,"Silver, White, Black, Lavender","Formal suit, Blazer with trousers, Dress shirt with chinos, Business casual kurta, Smart office jacket outfit","Formal saree, Blouse with pencil skirt, Business dress, Kurti with palazzo, Elegant office gown"
Purple,Casual Outing,"Silver, White, Black, Lavender","T-shirt with jeans, Casual shirt and shorts, Hoodie and jeans, Casual kurta and pants, Denim shirt outfit","Summer dress, Kurti and jeans, Maxi dress, Casual saree, Floral dress"
Purple,Formal Event,"Silver, White, Black, Lavender","Classic tuxedo, Three-piece suit, Formal blazer outfit, Bandhgala suit, Formal sherwani","Evening gown, Designer saree, Formal Anarkali, Luxury lehenga, Elegant long dress"
Purple,Beach Event,"Silver, White, Black, Lavender","Linen shirt and shorts, Hawaiian shirt, Light cotton shirt outfit, Beach kurta, Sleeveless beach tank outfit","Beach maxi dress, Floral sundress, Light cotton dress, Kaftan dress, Beach skirt and top"
Purple,Dinner Date,"Silver, White, Black, Lavender","Slim fit shirt and trousers, Blazer dinner outfit, Casual suit, Stylish kurta outfit, Smart casual shirt look","Elegant satin dress, Cocktail dress, Stylish saree, Modern gown, Chic jumpsuit"
Purple,Sports Event,"Silver, White, Black, Lavender","Sports jersey, Athletic t-shirt, Track suit, Sports hoodie outfit, Gym wear set","Athletic set, Sports leggings and top, Track suit, Gym outfit, Activewear set"
Black,Wedding,"Gold, White, Emerald, Red","Black tuxedo, Navy suit, Cream sherwani, Charcoal suit, Traditional veshti and shirt, Kurta pajama, Indo-western sherwani","Saree, Lehenga, Anarkali dress, Bridal gown, Half saree, Salwar kameez, Designer saree"
Black,Birthday,"Gold, White, Emerald, Red","Casual blazer with t-shirt, Denim jacket outfit, Casual kurta, Polo shirt and chinos, Smart casual shirt and jeans","Cocktail dress, Party gown, Kurti with skirt, Western mini dress, Stylish jumpsuit"
Black,Office Party,"Gold, White, Emerald, Red","Formal suit, Blazer with trousers, Dress shirt with chinos, Business casual kurta, Smart office jacket outfit","Formal saree, Blouse with pencil skirt, Business dress, Kurti with palazzo, Elegant office gown"
Black,Casual Outing,"Gold, White, Emerald, Red","T-shirt with jeans, Casual shirt and shorts, Hoodie and jeans, Casual kurta and pants, Denim shirt outfit","Summer dress, Kurti and jeans, Maxi dress, Casual saree, Floral dress"
Black,Formal Event,"Gold, White, Emerald, Red","Classic tuxedo, Three-piece suit, Formal blazer outfit, Bandhgala suit, Formal sherwani","Evening gown, Designer saree, Formal Anarkali, Luxury lehenga, Elegant long dress"
Black,Beach Event,"Gold, White, Emerald, Red","Linen shirt and shorts, Hawaiian shirt, Light cotton shirt outfit, Beach kurta, Sleeveless beach tank outfit","Beach maxi dress, Floral sundress, Light cotton dress, Kaftan dress, Beach skirt and top"
Black,Dinner Date,"Gold, White, Emerald, Red","Slim fit shirt and trousers, Blazer dinner outfit, Casual suit, Stylish kurta outfit, Smart casual shirt look","Elegant satin dress, Cocktail dress, Stylish saree, Modern gown, Chic jumpsuit"
Black,Sports Event,"Gold, White, Emerald, Red","Sports jersey, Athletic t-shirt, Track suit, Sports hoodie outfit, Gym wear set","Athletic set, Sports leggings and top, Track suit, Gym outfit, Activewear set"
Green,Wedding,"Beige, Cream, Gold, White","Black tuxedo, Navy suit, Cream sherwani, Charcoal suit, Traditional veshti and shirt, Kurta pajama, Indo-western sherwani","Saree, Lehenga, Anarkali dress, Bridal gown, Half saree, Salwar kameez, Designer saree"
Green,Birthday,"Beige, Cream, Gold, White","Casual blazer with t-shirt, Denim jacket outfit, Casual kurta, Polo shirt and chinos, Smart casual shirt and jeans","Cocktail dress, Party gown, Kurti with skirt, Western mini dress, Stylish jumpsuit"
Green,Office Party,"Beige, Cream, Gold, White","Formal suit, Blazer with trousers, Dress shirt with chinos, Business casual kurta, Smart office jacket outfit","Formal saree, Blouse with pencil skirt, Business dress, Kurti with palazzo, Elegant office gown"
Green,Casual Outing,"Beige, Cream, Gold, White","T-shirt with jeans, Casual shirt and shorts, Hoodie and jeans, Casual kurta and pants, Denim shirt outfit","Summer dress, Kurti and jeans, Maxi dress, Casual saree, Floral dress"
Green,Formal Event,"Beige, Cream, Gold, White","Classic tuxedo, Three-piece suit, Formal blazer outfit, Bandhgala suit, Formal sherwani","Evening gown, Designer saree, Formal Anarkali, Luxury lehenga, Elegant long dress"
Green,Beach Event,"Beige, Cream, Gold, White","Linen shirt and shorts, Hawaiian shirt, Light cotton shirt outfit, Beach kurta, Sleeveless beach tank outfit","Beach maxi dress, Floral sundress, Light cotton dress, Kaftan dress, Beach skirt and top"
Green,Dinner Date,"Beige, Cream, Gold, White","Slim fit shirt and trousers, Blazer dinner outfit, Casual suit, Stylish kurta outfit, Smart casual shirt look","Elegant satin dress, Cocktail dress, Stylish saree, Modern gown, Chic jumpsuit"
Green,Sports Event,"Beige, Cream, Gold, White","Sports jersey, Athletic t-shirt, Track suit, Sports hoodie outfit, Gym wear set","Athletic set, Sports leggings and top, Track suit, Gym outfit, Activewear set"
Red_Yellow,Wedding,"Cream, Black, Gold, Ivory","Black tuxedo, Navy suit, Cream sherwani, Charcoal suit, Traditional veshti and shirt, Kurta pajama, Indo-western sherwani","Saree, Lehenga, Anarkali dress, Bridal gown, Half saree, Salwar kameez, Designer saree"
Red_Yellow,Birthday,"Cream, Black, Gold, Ivory","Casual blazer with t-shirt, Denim jacket outfit, Casual kurta, Polo shirt and chinos, Smart casual shirt and jeans","Cocktail dress, Party gown, Kurti with skirt, Western mini dress, Stylish jumpsuit"
Red_Yellow,Office Party,"Cream, Black, Gold, Ivory","Formal suit, Blazer with trousers, Dress shirt with chinos, Business casual kurta, Smart office jacket outfit","Formal saree, Blouse with pencil skirt, Business dress, Kurti with palazzo, Elegant office gown"
Red_Yellow,Casual Outing,"Cream, Black, Gold, Ivory","T-shirt with jeans, Casual shirt and shorts, Hoodie and jeans, Casual kurta and pants, Denim shirt outfit","Summer dress, Kurti and jeans, Maxi dress, Casual saree, Floral dress"
Red_Yellow,Formal Event,"Cream, Black, Gold, Ivory","Classic tuxedo, Three-piece suit, Formal blazer outfit, Bandhgala suit, Formal sherwani","Evening gown, Designer saree, Formal Anarkali, Luxury lehenga, Elegant long dress"
Red_Yellow,Beach Event,"Cream, Black, Gold, Ivory","Linen shirt and shorts, Hawaiian shirt, Light cotton shirt outfit, Beach kurta, Sleeveless beach tank outfit","Beach maxi dress, Floral sundress, Light cotton dress, Kaftan dress, Beach skirt and top"
Red_Yellow,Dinner Date,"Cream, Black, Gold, Ivory","Slim fit shirt and trousers, Blazer dinner outfit, Casual suit, Stylish kurta outfit, Smart casual shirt look","Elegant satin dress, Cocktail dress, Stylish saree, Modern gown, Chic jumpsuit"
Red_Yellow,Sports Event,"Cream, Black, Gold, Ivory","Sports jersey, Athletic t-shirt, Track suit, Sports hoodie outfit, Gym wear set","Athletic set, Sports leggings and top, Track suit, Gym outfit, Activewear set"
